Hearing_group,Species,Species_group,Study,Area,Source,Sound_source,Sound_source_position,Sound_source_depth,Frequency_reported,Duration,RL,RL_unit,RL_measured_or_estimated,Source_range,Number_individuals,Sex,Age_yr,PriorBehavior,Behavioural_response,Highest_severity_scale ,Behavior2,Displacement_avoidance ,Acoustic_change_type
Mid-frequency,Tucuxi,Dolphin,Monteiro-Neto et al. 2004,"Fortaleza, Brasil",Acoustic alarm,Acoustic alarm,Stationary,,,,120,Not explicit,Estimated,,,,,Traveling,Animals avoided their usual movement path and never crossed under the pinger line.,6,High,Avoidance,Not measured/reported
Mid-frequency,Indo-pacific bottlenose dolphin,Dolphin,Morisaka et al. 2005,Tokyo and Japan,Continuous,Vessel ,Moving,,5 - 18 kHz,,130,rms,Measured,,,,,,"In habitats with less ambient noise (derived mostly from vessels), dolphins produced whistles at varying frequencies with greater modulations; when ambient noise was greater, dolphins produced whistles of lower frequencies with fewer frequency modulations. Examination of our results suggests that communication signals are adaptive and are selected to avoid the masking of signals and the attenuation of higher-frequency signals. Duration of whistles did not change according with locations. ",5,Moderate,Not-avoidance,Vocalization frequency shift
Mid-frequency,Pilot whale,Black fish,Rendell ad Gordon 1999,"Ligurian Sea, Mediterranean",MFAS,Mid-frequency sonar,Moving,,4 - 5 kHz,1/6 s repeated regularly (sonar active for 6 hours before whale sightings),,,,,45 - 50,,,,Individuals responded vocally to military sonar pulses:  some types of whistles occurred significantly more during and just after sonar output than at other times. ,4,Moderate,Not-avoidance,"Vocalization frequency shift, vocalization rate increase"
Mid-frequency,Bottlenose dolphin,Dolphin,Chilvers and Corkeron 2001,"Queensland, Australia",Continuous,Vessel ,Moving,,,,,,,,,,,,,,,,
High-frequency,Franciscana dolphin ,Franciscana,Bordino et al. 2002,"Cabo San Antonio, Argentina",Acoustic alarm,Acoustic alarm,Stationary,,10 kHz,4 s,104,Not explicit,,,,,,,Less Franciscana dolphins in bottom-gillnets that had active acoustic pingers - deterrant effect.,6,High,Avoidance,Not measured/reported
Mid-frequency,Killer whale,Killer whale,Williams et al. 2002,"British Columbia, Canada",Continuous,Vessel ,Moving,,to at least 24kHz,,116,rms,Estimated,greather than 100m,10,Male,,Traveling,"When vessels  speeds up to leapfrog a whale’s path, animals responded on average by adopting paths that were significantly less smooth and less straight than during preceding, control conditions; animals were attempting to evade the approaching boat. ",5,Moderate,Not-avoidance,Not measured/reported
Mid-frequency,Bottlenose dolphin,Dolphin,Cox et al. 2003,"East coast, US",Acoustic alarm,Acoustic alarm,Stationary,,10 kHz,,,,,,,,,,Dolphins diverted they travel slighly when pingers were active; overall very limited behavioural response. ,4,Moderate,Not-avoidance,Not measured/reported
Mid-frequency,Bottlenose dolphin,Dolphin,Hastie et al. 2003,northern Scotland,Continuous,Vessel ,Moving,,,,,,,,,,,,Synchrony was significantly positively related to the presence of boat traffic; school size and presence of calves were also related to synchrony. ,,,Not-avoidance,Not measured/reported
Mid-frequency,Bottlenose dolphin,Dolphin,Lusseau 2003,"Doubtful Sound, New Zealand",Continuous,Vessel ,Moving,,,,,,,,60 - 65,,,,Dolphins were significantly more likely to be traveling after an interaction with a boat; socializing and resting behaviors were disrupted by interactions with boats and thus individuals spent less time conducting that behavioural sate.,,,Not-avoidance,Not measured/reported
Mid-frequency,Killer whale,Killer whale,Foote et al. 2004,"Washington state, US",Continuous,Vessel ,Moving,,,,,,,,,,,,Detected a significant increase (~15%) in call duration for all three pods in the presence of boats,4,Moderate,Not-avoidance,Vocalization duration increase
High-frequency,Harbour porpoise,Porpoise,Culik et al. 2001,"British Columbia, Canada",Acoustic alarm,Acoustic alarm,Stationary,,"55 kHz (peak), 20 - 160 kHz",0.3 s (at random intervals of 5 to 30 s),102,Not explicit,Estimated,130 m,between 22 - 172 groups recorded at differnet time sof the experiment,,,,Pinger created a large exclusion zone; no animal approached the float line closer than 130 m. Avoidance reaction of 200m. No significant statistical differences on swimming speed. ,6,High,Avoidance,Not measured/reported
High-frequency,Harbour porpoise,Porpoise,Olesiuk et al. 2002,"British Columbia, Canada",Acoustic alarm,Acoustic alarm,Stationary,,10 kHz (peak),"1.8 ms, 25 pulses/s",134,Not explicit,Estimated,> 3.5 km,,,,,Abundance declined precipitously when the AHD was activated; the few porpoises that entered the AHD area spent less time within it when the AHD was activated. The impact of the AHD extended beyond 3.5 km.,6,High,Avoidance,Not measured/reported
High-frequency,Harbour porpoise,Porpoise,Johnston 2002,"Bay of Fundy, Canada",Acoustic alarm,Acoustic alarm,Stationary,,10 kHz (peak),"2.5 ms, repeated every 17 seconds",130,Not explicit,Estimated,> 991 +/- 302 m,,,,,"Less porpoises sighted while the AHD was active than during inactive periods. The mean closest observed approach of porpoises to AHD during inactive periods was significantly less than during active periods. Porpoise density was therefore reduced of active AHD.
",6,High,Avoidance,Not measured/reported
High-frequency,Harbour porpoise,Porpoise,Kraus et al. 1997,"Gulf of Maine, US",Acoustic alarm,Acoustic alarm,Stationary,,10 kHz,300 ms (repeated every 4 s),98,Not explicit,Estimated,,,,,,Significant reduction of incidental catch of harbour porpoises in gill-nets when pingers were active.,6,High,Avoidance,Not measured/reported
High-frequency,Harbour porpoise,Porpoise,Taylor et al. 1997,Model,Acoustic alarm,Acoustic alarm,Stationary,,,,130,Not explicit,Estimated,,,,,,Modelling results: AHDs may exclude non-target species from important habitat,,,Not measured/reported,Not measured/reported
High-frequency,Harbour porpoise,Porpoise,Johnston and Woodley 1998,"Bay of Fundy, Canada",Acoustic alarm,Acoustic alarm,Stationary,,"10 kHz, 15 kHz and multi-frequencies (2 - 22 kHz)",,122,Not explicit,Estimated,,,,,,"Large percentage of sites using AHDs, possible habitat exclusion",6,High,Avoidance,Not measured/reported
High-frequency,Harbour porpoise,Porpoise,Cox et al. 2001,"Bay of Fundy, Canada",Acoustic alarm,Acoustic alarm,Stationary,,10 kHz,4 s,122,Not explicit,Estimated,125 m,,,,,Porpoises were initially displaced from the pinger but this displacement waned over time with individuals approaching the pinger more closely over time. Echolocation rate was significantly reduced when the pinger was activated.,6,High,Avoidance,Vocalization duration decrease
various,Various,Various,Barlow and Cameron 2003,"California, US",Acoustic alarm,Acoustic alarm,Stationary,,,,99,Not explicit,Estimated,,,,,,Reduced by-catch,6,High,Avoidance,Not measured/reported
High-frequency,Harbour porpoise,Porpoise,Koschinski et al. 2003,"British Columbia, Canada",Continuous,Wind turbine,Stationary,,30 - 800 Hz (max energy),,,,,120 m (median) when source inactive; 182 m when active.,Several,,,,Porpoises maintained a larger distance to the transducer when it was active. Echolocation clicks increased when sound source was active. Animals were not deterred from the general area.,6,High,Avoidance,Vocalization duration increase
High-frequency,Harbour porpoise,Porpoise,Carlström et al. 2009,"West Scotland, UK",Acoustic alarm,Acoustic alarm,Stationary,,"11 kHz (peak), 10 - 12 kHz",0.3 s every 4 s,,,,125 - 375m,Several,,,,There was a reduction in the median echolocation encounter rate. Initial sighting rate of groups were reduced by 125 - 375 m from the simulated net.,6,High,Avoidance,Vocalization duration decrease
High-frequency,Harbour porpoise,Porpoise,Brandt et al. 2013a,German North Sea,Acoustic alarm,Acoustic alarm,Stationary,,14 kHz (peak),0.5 s,113,Not explicit,Measured,Deterrance up to 7.5 km ,,,,,Number of propoise acoustic detections decreased when seal scarer was active. Porpoise detections returned to baseline levels 7-9 hours after seal scarer was inactive. Aerial survey results demonstrated a decrease in porpoise density in the area when seal scarer were operating.,7,High,Avoidance,Vocalization frequency shift
